unit,n_words,role,scholarly,mvn_map,mvn_lo,mvn_hi,mvn_width,map_resist,delta_arch,map_genre,genre_shift,lbh_score,lbh_class,reg_mvn_map,best_group,group,hb_map,hb_post_std,hb_scholar_in68,hb_lo,hb_hi,ps_modeA,ps_modeB,ps_lik_only,ps_shift,ps_verdict
Lev_Holiness,5958,target,,512,355,668,313,662,-150,400,-122,-0.332,Archaizing,473,Transitional,,,,,,,614.1183286901075,660.3769082068615,721.7222296762598,-46.25857951675391,mildly prior-influenced
Lev_Priestly,10496,target,,557,402,708,307,500,57,555,-45,0.13,Archaic/SBH,367,Transitional,,,,,,,626.6575910183639,673.769364396173,674.7711161798566,-47.11177337780919,mildly prior-influenced
Song_Sea,433,target,,530,367,692,325,423,107,642,92,-0.003,Archaizing,407,Transitional,,,,,,,711.5347299046165,690.5099346328127,721.7222296762598,21.024795271803782,data-driven
Song_Deborah,462,target,,543,383,703,320,525,18,515,-55,0.384,Transitional,622,Transitional,,,,,,,706.405217993972,740.7316453427311,698.2466729280582,-34.326427348759125,mildly prior-influenced
P_source,54435,target,,467,310,622,312,447,20,430,-13,0.152,Archaic/SBH,377,Transitional,LBH,445.6127849329196,56.370686605821696,False,414.2961341523524,532.9697581629227,394.2692523619372,355.6985299000221,369.5888784532351,38.57072246191507,mildly prior-influenced
JE_source,37752,target,,302,135,468,333,385,-83,407,188,0.532,Transitional,295,Transitional,Transitional,500.00486260443085,51.49310151269125,False,443.9645401549949,544.5074716083948,464.45624702141686,325.565503474071,369.5888784532351,138.89074354734583,prior-dominated
D_source,20128,target,,490,328,650,322,570,-80,353,-132,-0.296,Archaizing,552,Transitional,SBH,773.6134957399129,48.35691308460108,False,724.166152402175,819.7643495218013,370.5828219998773,379.13532823131743,357.8511000791343,-8.552506231440134,data-driven
Gen_JE,22409,target,,248,82,417,335,358,-110,403,230,0.671,Modern/LBH,270,Transitional,Transitional,470.3364566017884,55.78188944079098,False,427.4820923757491,542.8592268304704,,,,,
Exo_JE,11780,target,,378,218,537,318,437,-58,412,112,0.36,Transitional,342,Transitional,Transitional,490.1153939368835,49.20772856606426,False,439.0198058212212,534.6180029408474,,,,,
Num_JE,3563,target,,297,130,465,335,380,-83,410,192,0.354,Transitional,307,Transitional,Transitional,490.1153939368835,55.8835588459978,False,437.3715610432965,552.7486954980178,,,,,
