id,group,holdout,scholarly_date,hb_map,hb_ci68_lo,hb_ci68_hi,hb_ci68_width,hb_post_std,hb_in68,mle_map,mle_ci68_lo,mle_ci68_hi,mle_ci68_width,mle_in68,hb_error,mle_error,delta_map
theophrastus_historia_plantarum,classical,False,-310.0,-306.7382843085258,-321.49098156733817,-291.9855870497136,29.505394517624552,14.86170227452984,True,-297.9239619809905,-308.8044022011005,-287.0435217608804,21.76088044022009,False,3.261715691474194,12.076038019009502,-8.814322327535308
dionysius_roman_antiquities,atticizing,False,-20.0,-21.678101791475022,-36.4307990502873,-6.92540453266275,29.50539451762455,14.796439791783548,True,-20.865432716358185,-35.182591295647825,-6.548274137068546,28.63431715857928,True,-1.6781017914750223,-0.8654327163581854,-0.8126690751168368
dionysius_thucydides,atticizing,False,-20.0,-19.29863449166657,-34.0513317504789,-4.545937232854293,29.50539451762461,14.812757417232865,True,-23.02651325662832,-37.34367183591796,-8.70935467733868,28.63431715857928,True,0.7013655083334314,-3.02651325662832,3.7278787649617513
strabo_geography,atticizing,False,-20.0,-21.20220833151332,-35.95490559032565,-6.449511072700993,29.50539451762466,14.777642174018515,True,-18.16408204102052,-32.48124062031016,-3.846923461730867,28.634317158579293,True,-1.2022083315133187,1.8359179589794792,-3.038126290492798
plutarch_lives,atticizing,False,100.0,94.43990243917668,79.68720518036442,109.1925996979891,29.50539451762468,14.818555761008833,True,94.00200100050026,79.59479739869934,108.40920460230114,28.814407203601803,True,-5.560097560823323,-5.9979989994997425,0.43790143867641973
plutarch_moralia,atticizing,False,100.0,101.57830433860208,86.82560707978979,116.33100159741434,29.505394517624552,14.792882992318534,True,100.72536268134068,86.31815907953978,115.1325662831416,28.814407203601817,True,1.5783043386020807,0.7253626813406839,0.8529416572613968
dio_chrysostom_orations,atticizing,False,100.0,103.95777163841052,89.20507437959813,118.7104688972228,29.505394517624666,14.790550922762849,True,106.96848424212106,92.56128064032018,121.13556778389196,28.57428714357178,True,3.95777163841052,6.968484242121065,-3.0107126037105445
arrian_anabasis,atticizing,False,145.0,143.9328222751923,133.93905961599685,153.92658493438768,19.987525318390823,9.950282035667104,True,144.90745372686345,135.06253126563283,154.51225612806405,19.449724862431225,True,-1.0671777248076921,-0.09254627313654851,-0.9746314516711436
pausanias_description,atticizing,False,160.0,155.3542653142727,140.60156805546043,170.1069625730851,29.505394517624666,14.80429897501717,True,158.35417708854428,143.9469734867434,172.52126063031517,28.57428714357178,True,-4.645734685727291,-1.6458229114557241,-2.999911774271567
lucian_true_history,atticizing,False,165.0,168.67928219320004,153.92658493438768,183.4319794520123,29.505394517624637,14.814357948975411,True,165.79789894947476,151.39069534767384,180.20510255127564,28.814407203601803,True,3.679282193200038,0.7978989494747566,2.8813832437252813
aelius_aristides_sacred,atticizing,False,170.0,169.1551756531617,154.40247839434943,183.907872911974,29.50539451762458,14.82342891260717,True,172.7613806903452,158.5942971485743,187.16858429214608,28.57428714357178,True,-0.8448243468382941,2.7613806903451916,-3.6062050371834857
maximus_tyrius_orations,atticizing,False,180.0,180.57661869224225,165.82392143342983,195.3293159510545,29.505394517624666,14.80426831443361,True,179.72486243121563,165.3176588294147,194.1320660330165,28.814407203601803,True,0.5766186922422492,-0.27513756878437334,0.8517562610266225
philostratus_lives_sophists,atticizing,False,220.0,221.97934970890904,207.22665245009668,236.7320469677213,29.50539451762461,14.788303810848548,True,220.54527263631812,206.1380690345173,234.95247623811903,28.814407203601746,True,1.9793497089090408,0.5452726363181171,1.4340770725909238
cassius_dio_roman,atticizing,False,220.0,221.02756278898565,206.27486553017337,235.78026004779792,29.505394517624552,14.800437341687296,True,221.0255127563782,206.61830915457728,235.4327163581791,28.81440720360183,True,1.027562788985648,1.0255127563781912,0.002050032607456842
libanius_orations,atticizing,False,360.0,360.5779524184344,345.90660686193667,375.2492979749322,29.34269111299551,14.8185360793395,True,357.8939469734867,343.5767883941971,372.2111055527764,28.634317158579336,True,0.5779524184343927,-2.1060530265132797,2.6840054449476725
lxx_genesis,koine,False,-270.0,-250.5828560330467,-270.09448789147586,-231.07122417461756,39.02326371685831,19.61188494825095,True,-241.94847423711855,-261.0830415207604,-222.4312156078039,38.6518259129565,False,19.41714396695329,28.051525762881454,-8.634381795928164
lxx_exodus,koine,False,-260.0,-245.34802797346816,-264.8596598318974,-225.83639611503895,39.02326371685842,19.6103436735261,True,-237.4137068534267,-257.0535267633817,-218.15157578789396,38.90195097548772,False,14.651972026531837,22.586293146573297,-7.93432112004146
lxx_1kingdoms,koine,False,-240.0,-154.92827058074755,-183.0059847184871,-127.32644990296964,55.67953481551746,27.919253180166592,False,-171.1805902951476,-199.86993496748372,-142.87893946973486,56.990995497748855,False,85.07172941925245,68.8194097048524,16.252319714400045
apollodorus_library,koine,False,-150.0,-215.47761824976487,-273.6660295564548,-157.28920694307504,116.37682261337977,58.51955207980785,False,-181.088044022011,-239.5047523761881,-122.67133566783394,116.83341670835415,True,-65.47761824976487,-31.08804402201099,-34.38957422775388
lxx_judith,koine,False,-125.0,-76.40584968706908,-113.5255395640807,-39.76205327001916,73.76348629406155,37.025633113563714,False,-59.06203101550773,-95.48024012006002,-22.29364682341168,73.18659329664834,False,48.59415031293092,65.93796898449227,-17.34381867156135
