id,group,holdout,scholarly_date,hb_map,hb_ci68_lo,hb_ci68_hi,hb_post_std,hb_z_score,hb_scholar_in68,hb_prior_prec
lxx_1maccabees,koine,False,-100.0,-88.30318618611125,-113.04964610411899,-64.03261972806521,24.61589039563374,0.4678725525555501,True,0.9695072959517655
diodorus_siculus,koine,False,-50.0,-58.797791668486646,-78.30942352691584,-39.286159810057455,19.609949530963906,-0.43988958342433226,True,0.9613753015173788
philo_de_opificio,koine,False,40.0,40.66394146350605,25.911244204693773,55.416638722318325,14.826762805805998,0.0442627642337366,True,0.9770350902205873
philo_de_vita_mosis,koine,False,40.0,43.519302223276156,28.766604964463873,58.27199948208853,14.836600387207978,0.23462014821841043,True,0.9783320491097774
josephus_jewish_war,koine,False,80.0,79.21131172040278,69.21754906120731,89.20507437959813,9.945728050567874,-0.07886882795972242,True,0.9891750645585266
josephus_antiquities,koine,False,93.0,93.01222205929164,87.77739399971308,97.77115665890855,4.9934698044338495,0.0024444118583289765,True,0.997389627511705
vita_aesopi,koine,False,50.0,82.06667248017288,24.00767036484696,141.0774615154221,58.9412607023336,0.42755563306897176,True,0.6176128378987475
john_gospel,koine,False,100.0,100.62651741867867,81.11488556024948,120.13814927710786,19.667316069340064,0.031325870933933686,True,0.9670083034283048
chariton_callirhoe,koine,False,100.0,116.33100159741434,79.21131172040278,152.97479801446437,37.04426959607327,0.4082750399353586,True,0.8576736936915991
ignatius_letters,koine,False,108.0,107.76491931810403,103.00598471848713,112.99974737768258,4.994944022263602,-0.04701613637919309,True,0.9979786314218757
testament_abraham,koine,False,100.0,62.555040621743686,19.24873576523016,109.1925996979891,45.556549113360134,-0.7488991875651263,True,0.8301596668471977
epictetus_discourses,koine,False,108.0,110.62028007787413,101.10241087864043,120.61404273706961,9.954445062879934,0.26202800778741275,True,0.9909097650989469
achilles_tatius,koine,False,150.0,138.69799421561373,110.14438661791249,167.251601813315,28.63401831671423,-0.3767335261462089,True,0.9110077832910288
appian_roman_history,koine,False,155.0,154.40247839434943,139.64978113553704,169.1551756531617,14.841115766368404,-0.039834773710038004,True,0.9789276319588837
galen_natural_faculties,koine,False,180.0,178.6730448523954,164.39624105354477,193.4257421112078,14.825297017433503,-0.08846367650697289,True,0.976841918467212
clement_stromateis,koine,False,200.0,199.136463630748,184.38376637193574,213.8891608895603,14.826778865133639,-0.05756909128346592,True,0.9770372067358825
aelian_various_history,koine,False,220.0,221.02756278898565,206.27486553017337,235.78026004779792,14.832108099172263,0.06850418593237653,True,0.9777396918468065
plotinus_enneads,koine,False,265.0,267.18922840526926,257.1954657460739,277.1829910644648,9.947867917192823,0.21892284052692618,True,0.9896007609791427
porphyry_life_plotinus,koine,False,290.0,289.08032756350696,274.32763030469465,303.8330248223193,14.83052213182585,-0.06131149576620298,True,0.9775306075670062
iamblichus_pythagorean,koine,False,305.0,301.9210471614767,287.09081113327966,316.7512831896737,14.848782204630844,-0.20526352256822142,True,0.9799392576024961
eusebius_church_history,koine,False,315.0,309.02013016328243,294.51821380815363,324.00544373024877,14.860763141358044,-0.3986579891145046,True,0.9815212495268701
polybius_histories,koine,True,-160.0,-154.92827058074755,-178.7229435788319,-130.65770412270143,24.194022164954372,0.20286917677009797,True,0.9365611336292856
mark_gospel,koine,True,70.0,72.54880328093917,57.79610602212678,87.77739399971308,14.996184460917187,0.1699202187292779,True,0.9994913261593514
matthew_gospel,koine,True,85.0,80.16309864032607,65.4104013815138,94.91579589913846,14.783405403043593,-0.3224600906449287,True,0.9713292236032823
luke_gospel,koine,True,120.0,127.75244463649486,99.67473049875537,156.30605223419613,28.53978655979149,0.2584148212164952,True,0.9050215743093944
diogenes_laertius_lives,koine,True,230.0,228.64185814837265,200.0882505506714,257.1954657460739,28.69901890842477,-0.04527139505424505,True,0.915148540340136
