feature,rho,p_raw,p_lt_0.10,loo_robust,ling_filter,in_model,description
lex::>LP=/,0.3650483516866259,0.0948193444269,True,False,False,False,Lexeme >LP=/ (noun) rate per 1k words
lex::<MH/,0.3648895839734861,0.0949738877957266,True,False,False,False,Lexeme <MH/ (noun) rate per 1k words
lex::CPK[,-0.3647454721408745,0.0951143262867271,True,False,False,False,Lexeme CPK[ (verb) rate per 1k words
lex::KMW,-0.3640832223307205,0.0957616685758229,True,False,True,True,Lexeme KMW (prep) rate per 1k words
lex::LQX[,-0.3631755933772286,0.096654142557641,True,False,False,False,Lexeme LQX[ (verb) rate per 1k words
lex::MLH/,0.3614638413414059,0.0983539875612737,True,False,False,False,Lexeme MLH/ (noun) rate per 1k words
lex::PRZL/,0.3614638413414059,0.0983539875612737,True,False,False,False,Lexeme PRZL/ (noun) rate per 1k words
lex::XJWH/,0.3614638413414059,0.0983539875612737,True,False,False,False,Lexeme XJWH/ (noun) rate per 1k words
lex::LM<N,-0.3605504527047117,0.099269980936991,True,False,True,True,Lexeme LM<N (prep) rate per 1k words
lex::MSPR/,0.359914406284704,0.0999115387193703,True,False,False,False,Lexeme MSPR/ (noun) rate per 1k words
lex::PLL[,0.3595899595898198,0.1002399687661541,False,False,False,False,Lexeme PLL[ (verb) rate per 1k words
lex::PC</,-0.359496676579073,0.1003345437965433,False,False,False,False,Lexeme PC</ (noun) rate per 1k words
lex::MMLKH/,-0.3593798343517743,0.1004530968750351,False,False,False,False,Lexeme MMLKH/ (noun) rate per 1k words
vt::wayq,0.3565980371378239,0.1033061292995816,False,False,False,False,Verb form wayq rate per 1k words
lex::BRK[,0.3564081540135697,0.1035030177682371,False,False,False,False,Lexeme BRK[ (verb) rate per 1k words
lex::BZZ[,-0.3563265118826085,0.1035877564233743,False,False,False,False,Lexeme BZZ[ (verb) rate per 1k words
lex::MCH=/,0.3553286382820097,0.1046275903642043,False,False,False,False,Lexeme MCH=/ (proper-noun) rate per 1k words
lex::LWJ=/,0.3547791666507269,0.105203419944299,False,False,False,False,Lexeme LWJ=/ (proper-noun) rate per 1k words
lex::ZKRJH/,0.3543921851249969,0.1056103545708038,False,False,False,False,Lexeme ZKRJH/ (proper-noun) rate per 1k words
lex::VM>[,-0.3533274191754486,0.1067359632117121,False,False,False,False,Lexeme VM>[ (verb) rate per 1k words
lex::KWN[,-0.3533252364464327,0.1067382796346243,False,False,False,False,Lexeme KWN[ (verb) rate per 1k words
lex::>DNJ/,-0.3523399683031237,0.1077876523295405,False,False,False,False,Lexeme >DNJ/ (proper-noun) rate per 1k words
lex::QBY[,-0.352050453127854,0.1080974313030953,False,False,False,False,Lexeme QBY[ (verb) rate per 1k words
lex::MRRJ=/,0.351076102828317,0.1091447529164813,False,False,False,False,Lexeme MRRJ=/ (proper-noun) rate per 1k words
lex::PRF[,-0.3496194272704542,0.1107242962464713,False,False,False,False,Lexeme PRF[ (verb) rate per 1k words
lex::XKMH/,0.3494283472404265,0.1109327219668142,False,False,False,False,Lexeme XKMH/ (noun) rate per 1k words
lex::<FRH=/,0.3484406248762989,0.1120146637891639,False,False,False,False,Lexeme <FRH=/ (noun) rate per 1k words
lex::PLCTJ/,-0.3474111973823071,0.1131504368269504,False,False,False,False,Lexeme PLCTJ/ (adjective) rate per 1k words
lex::HLK[,-0.3469908000041583,0.1136166618803735,False,False,False,False,Lexeme HLK[ (verb) rate per 1k words
lex::XZWN/,-0.3440650144806323,0.1169001042924725,False,False,False,False,Lexeme XZWN/ (noun) rate per 1k words
lex::CMMH/,-0.3417093028776098,0.119593302703448,False,False,False,False,Lexeme CMMH/ (noun) rate per 1k words
lex::SWS/,-0.3393048970989131,0.1223881103485804,False,False,False,False,Lexeme SWS/ (noun) rate per 1k words
lex::TPF[,-0.3387709188981875,0.1230151241383454,False,False,False,False,Lexeme TPF[ (verb) rate per 1k words
lex::NGJD/,0.3380508956911776,0.1238642568391642,False,False,False,False,Lexeme NGJD/ (noun) rate per 1k words
lex::BLJ/,-0.3359887954234871,0.1263194490173126,False,False,False,False,Lexeme BLJ/ (noun) rate per 1k words
lex::QBL/,0.335156349960373,0.1273204167494099,False,False,False,False,Lexeme QBL/ (noun) rate per 1k words
lex::PQDH/,-0.3348751168200576,0.1276598660718739,False,False,False,False,Lexeme PQDH/ (noun) rate per 1k words
lex::>XZ=/,-0.3338172833819579,0.1289424883794954,False,False,False,False,Lexeme >XZ=/ (proper-noun) rate per 1k words
lex::XRPH/,-0.333264767389312,0.1296160724578176,False,False,False,False,Lexeme XRPH/ (noun) rate per 1k words
lex::>NJ,0.3328625101017088,0.1301080554823668,False,False,False,False,Lexeme >NJ (pronoun) rate per 1k words
lex::<MQ/,-0.3326507216386028,0.1303676210369805,False,False,False,False,Lexeme <MQ/ (noun) rate per 1k words
lex::JC<[,-0.3323335036759633,0.1307570927136262,False,False,False,False,Lexeme JC<[ (verb) rate per 1k words
lex::<FH[,0.3317322469095128,0.1314975824238205,False,False,False,False,Lexeme <FH[ (verb) rate per 1k words
lex::ZR</,0.331361937283396,0.1319551337417742,False,False,False,False,Lexeme ZR</ (noun) rate per 1k words
lex::YDWQ/,0.3308780117043809,0.1325547813994339,False,False,False,False,Lexeme YDWQ/ (proper-noun) rate per 1k words
lex::<YM/,-0.3307961394827245,0.1326564240700215,False,False,False,False,Lexeme <YM/ (noun) rate per 1k words
lex::XJYWN/,0.3300382197965018,0.1336000097524402,False,False,False,False,Lexeme XJYWN/ (adjective) rate per 1k words
lex::GLH[,-0.3284905166830199,0.1355417082339595,False,False,False,False,Lexeme GLH[ (verb) rate per 1k words
