feature,rho,p_raw,rank,p_bh,bh_significant,loo_frac,loo_robust,passes,description
lex::CB</,0.47223668744066866,0.026477075720736147,88,0.2241525160448685,False,0.8181818181818182,True,True,Lexeme CB</ (noun) rate per 1k words
lex::>CR,0.4707546195496154,0.027020536168729455,89,0.22618313983936453,False,0.8636363636363636,True,True,Lexeme >CR (conj) rate per 1k words
lex::XYJ/,0.4694551309704958,0.02750431601737291,90,0.22767461592158686,False,0.8636363636363636,True,True,Lexeme XYJ/ (noun) rate per 1k words
lex::M>H/,0.46780498829833056,0.028128537442682962,91,0.23028308126152533,False,0.8181818181818182,True,True,Lexeme M>H/ (noun) rate per 1k words
lex::RJB/,-0.4653363603917431,0.029083336507368385,92,0.23551180106510267,False,0.9090909090909091,True,True,Lexeme RJB/ (noun) rate per 1k words
lex::KRM/,-0.4637823221923702,0.02969746410279658,93,0.23789904039337043,False,0.7727272727272727,True,True,Lexeme KRM/ (noun) rate per 1k words
lex::QCT/,-0.4631784389603489,0.029938862692062425,94,0.23728141176155856,False,0.7727272727272727,True,True,Lexeme QCT/ (noun) rate per 1k words
lex::NBJ>/,-0.462633447721864,0.030158051980346563,95,0.23650261816166512,False,0.8181818181818182,True,True,Lexeme NBJ>/ (noun) rate per 1k words
lex::C,0.4617516268773018,0.030515400969196953,96,0.2368122262713722,False,0.8181818181818182,True,True,Lexeme C (conj) rate per 1k words
lex::CC/,0.4599407216732629,0.03125976170067848,97,0.2400878604845924,False,0.7727272727272727,True,True,Lexeme CC/ (noun) rate per 1k words
lex::M<L[,0.4571341106085288,0.03244170240910441,98,0.24662314586513046,False,0.8636363636363636,True,True,Lexeme M<L[ (verb) rate per 1k words
lex::BWC[,-0.4565037162908864,0.032711969611164696,99,0.246165831922401,False,0.6363636363636364,False,True,Lexeme BWC[ (verb) rate per 1k words
lex::STR[,-0.45593184017609306,0.0329586831742291,100,0.24554218964800678,False,0.6818181818181818,False,True,Lexeme STR[ (verb) rate per 1k words
lex::CM<J=/,0.4544492880818616,0.03360511374371073,101,0.2478793043471732,False,0.8636363636363636,True,True,Lexeme CM<J=/ (proper-noun) rate per 1k words
lex::FMXH/,0.4506880658808896,0.035290007706129625,102,0.2577554484418291,False,0.6818181818181818,False,True,Lexeme FMXH/ (noun) rate per 1k words
lex::RBJ<J/,0.44900602398117945,0.03606468302185959,103,0.26085620243966406,False,0.5,False,True,Lexeme RBJ<J/ (adjective) rate per 1k words
lex::CMH/,-0.4480943252135676,0.03649012167534872,104,0.2613955831551423,False,0.6818181818181818,False,True,Lexeme CMH/ (noun) rate per 1k words
lex::KWRC/,0.44760908689958134,0.03671815712118171,105,0.2605240671931464,False,0.8636363636363636,True,True,Lexeme KWRC/ (proper-noun) rate per 1k words
lex::HWH[,0.4471294920261873,0.036944638640063684,106,0.259658073460825,False,0.8181818181818182,True,True,Lexeme HWH[ (verb) rate per 1k words
lex::JBC[,-0.4454719736395306,0.03773583323647342,107,0.2627401473006794,False,0.5909090909090909,False,True,Lexeme JBC[ (verb) rate per 1k words
lex::CNH/,0.4449386458965984,0.03799321617248233,108,0.26208283378240127,False,0.6363636363636364,False,True,Lexeme CNH/ (noun) rate per 1k words
lex::KTB[,0.4432477333377834,0.03881835706982119,109,0.2653181285964843,False,0.5454545454545454,False,True,Lexeme KTB[ (verb) rate per 1k words
lex::CWPR/,-0.44318902456573556,0.038847256156113924,110,0.2631018712391352,False,0.5454545454545454,False,True,Lexeme CWPR/ (noun) rate per 1k words
lex::>XRWN/,0.44318902456573556,0.038847256156113924,111,0.26073158411085473,False,0.5,False,True,Lexeme >XRWN/ (adjective) rate per 1k words
vs::qal,-0.4424980397447165,0.039188657654930965,112,0.2606745531511033,False,0.6818181818181818,False,True,Verbal stem qal rate per 1k words
lex::NTN[,0.4402375133603246,0.04032197432545035,113,0.2658395652430134,False,0.5454545454545454,False,True,Lexeme NTN[ (verb) rate per 1k words
lex::R>CWN/,0.43760449949730984,0.041674166193421264,114,0.2723443317026214,False,0.45454545454545453,False,True,Lexeme R>CWN/ (adjective) rate per 1k words
lex::GL<D/,-0.43741409825855243,0.041773302454048554,115,0.27061835068057544,False,0.6818181818181818,False,True,Lexeme GL<D/ (proper-noun) rate per 1k words
lex::>PS/,-0.4367044890775854,0.04214439693455319,116,0.2706687561745011,False,0.3181818181818182,False,True,Lexeme >PS/ (noun) rate per 1k words
lex::>MH=/,0.43621466223351363,0.0424020514946745,117,0.26999596891908123,False,0.45454545454545453,False,True,Lexeme >MH=/ (noun) rate per 1k words
lex::YR====/,-0.43237393580948275,0.04446513856714393,118,0.2807332901061206,False,0.3181818181818182,False,True,Lexeme YR====/ (proper-noun) rate per 1k words
morph::prs_rate,-0.43006514463056095,0.04574239257646571,119,0.2863704409198904,False,0.3181818181818182,False,True,Words carrying pronominal suffix rate per 1k words
lex::>LH,0.42845082870863926,0.046652251627397154,120,0.289632728853424,False,0.2727272727272727,False,True,Lexeme >LH (dem-pronoun) rate per 1k words
lex::MCTH/,0.4276937849639179,0.04708374299395612,121,0.2898957729793166,False,0.5454545454545454,False,True,Lexeme MCTH/ (noun) rate per 1k words
lex::MDBR/,-0.42758265964023495,0.047147340604927854,122,0.28790794057927255,False,0.3181818181818182,False,True,Lexeme MDBR/ (noun) rate per 1k words
lex::BQR=/,-0.4258768228216064,0.0481319845577502,123,0.2915311259798691,False,0.5909090909090909,False,True,Lexeme BQR=/ (noun) rate per 1k words
lex::PXH/,0.4258383138863431,0.04815439509414256,124,0.28931471246077584,False,0.36363636363636365,False,True,Lexeme PXH/ (noun) rate per 1k words
lex::YJWN==/,-0.42398684295640254,0.04924144071920889,125,0.293478986686485,False,0.3181818181818182,False,True,Lexeme YJWN==/ (proper-noun) rate per 1k words
lex::CM<[,-0.42328356547738527,0.049659291599610515,126,0.2936204146167447,False,0.22727272727272727,False,True,Lexeme CM<[ (verb) rate per 1k words
lex::>SP[,-0.4220988282552792,0.0503693947920711,127,0.2954740088196297,False,0.4090909090909091,False,True,Lexeme >SP[ (verb) rate per 1k words
lex::CRT[,0.4197735296868083,0.05178591125769341,128,0.30141018661704366,False,0.18181818181818182,False,True,Lexeme CRT[ (verb) rate per 1k words
lex::QRJH/,-0.4196190239337049,0.0518811098474424,129,0.2996234638476325,False,0.18181818181818182,False,True,Lexeme QRJH/ (noun) rate per 1k words
lex::DHB/,0.4161950573851823,0.054025630001126375,130,0.3096084180833781,False,0.18181818181818182,False,True,Lexeme DHB/ (noun) rate per 1k words
lex::>DJN,0.4161950573851823,0.054025630001126375,131,0.3072449950445737,False,0.18181818181818182,False,True,Lexeme >DJN (adverb) rate per 1k words
lex::MLKW/,0.4161950573851823,0.054025630001126375,132,0.30491738144575115,False,0.18181818181818182,False,True,Lexeme MLKW/ (noun) rate per 1k words
lex::NBWKDNYR/,0.4161950573851823,0.054025630001126375,133,0.3026247695551816,False,0.18181818181818182,False,True,Lexeme NBWKDNYR/ (proper-noun) rate per 1k words
