id,register,holdout,date_ce,author,dual_rate,goun_toinun_rate,hina_rate,tt_ss_ratio,men_rate,oun_rate,opt_rate,ptcp_rate,kai_rate,de_rate,avg_sent_len,idou_rate,eipen_rate,kai_sent_initial
plutarch_moralia,Atticizing,False,100,Plutarch,9.13828260705385,0.9062759610301337,0.3020919870100446,0.8333333333260233,10.120081564836493,3.776149837625557,102.10709160939507,202.6282002869874,75.06985877199608,20.919870100445586,17.72556894243641,0.0,0.0,0.10709504685393963
dio_chrysostom_orations,Atticizing,False,100,Dio Chrysostom,6.7879737835053495,1.1313289639175583,0.5814651658123764,0.8917306052848323,12.488860517883214,3.4571896271670637,98.89964037643549,190.7648163012495,72.71474709425424,25.64134975761751,19.276437621832358,0.0,0.05688246187294986,0.0995370370370249
epictetus_discourses,Koine,False,108,Arrian / Epictetus,7.642212632404864,0.6276971361318163,1.8517065515888582,0.40148698884609113,6.449588073754413,9.321302471557473,112.27932522557865,171.1730090231463,52.49117300902314,10.41977245978815,10.76799594457587,0.47077285209886227,0.345233424872499,0.057113889827634816
achilles_tatius,Koine,False,150,Achilles Tatius,9.37896070975919,0.33798056611744826,0.8449514152936206,0.6318181818153099,14.054358541050556,6.731446275172511,82.692578510069,177.72144768342486,52.358822701028025,38.19180397127165,12.510570824524313,0.30981551894099424,0.11266018870581608,0.08703312191681219
arrian_anabasis,Atticizing,False,145,Arrian,15.555741406707368,0.013938836385938501,1.0593515653313261,0.18891170431172707,12.628585765660283,0.8920855287000641,91.4527055281425,177.0371609378049,62.44598700900448,32.338100415377326,22.510825227486663,0.0,0.0,0.23501725760896297
appian_roman_history,Koine,False,155,Appian,10.77542427655999,0.036933759302690626,1.0064449409983196,0.18801410105735838,14.24719765101291,0.9602777418699563,78.105667485365,201.80606082990158,70.67274842569852,23.7391737918044,22.432062966031484,0.0,0.009233439825672657,0.19407622203807082
pausanias_description,Atticizing,False,160,Pausanias,12.634871542543843,0.03514567883878677,0.1054370365163603,0.10968494749112055,14.15492215232137,1.4673320915193475,77.0041823357818,165.29891399852386,57.93765156573999,55.7761923171546,17.09659005558059,0.0,0.0,0.07180411596814303
lucian_true_history,Atticizing,False,165,Lucian,10.530579181855002,2.4301336573511545,0.0,0.874999999890625,12.960712839206156,4.455245038477116,99.63547995139733,185.09518023491293,77.35925475901175,21.061158363710003,25.989473684210527,0.0,0.0,0.13684210526171744
aelius_aristides_sacred,Atticizing,False,170,Aelius Aristides,5.774278215223097,0.0,0.0,0.9999999999583333,6.824146981627297,2.099737532808399,92.38845144356955,191.07611548556432,87.66404199475066,16.27296587926509,23.23170731707317,0.0,0.0,0.14634146341284948
maximus_tyrius_orations,Atticizing,False,180,Maximus of Tyre,8.078767987881848,0.25246149962130776,1.2623074981065388,0.9999999999473684,4.796768492804848,2.27215349659177,97.7026003534461,186.31658672052512,67.40722039888917,16.91492047462762,8.861297539149888,0.0,0.0,0.06935123042490078
galen_natural_faculties,Koine,False,180,Galen,10.993110106639751,1.1519726159652435,0.43884671084390225,0.9477292202219814,18.738754553034624,4.816342651511827,99.06964497301094,189.32944222583052,50.42348707596437,13.494536358449993,9.360994146040875,0.0,0.005485583885548778,0.05299373523672317
