rho,pair,mae
2.314210246435170759e-01,5.966101694915254550e-01,1.560202383776841373e+02
2.964961547013446608e-01,6.033898305084746116e-01,1.504727135870987809e+02
4.886410653454628661e-01,6.711864406779660674e-01,1.342620427309357467e+02
9.896040488083840403e-02,5.593220338983050377e-01,1.574700231540945197e+02
-2.695419588194042371e-01,4.372881355932203284e-01,1.477404772980269740e+02
3.195997511715793077e-02,5.152542372881355748e-01,1.756215161547538912e+02
2.194841664672291665e-02,5.254237288135593653e-01,1.714036372362093630e+02
-2.541395611725811438e-02,5.050847457627118953e-01,1.494034635975476419e+02
-4.574512101106460449e-01,3.559322033898305038e-01,2.104475324085989882e+02
-9.048908617508570618e-02,4.542372881355932202e-01,1.876115669807338406e+02
6.815560958719221740e-02,5.525423728813558810e-01,1.544314960305045759e+02
-1.247594209392671044e-01,4.542372881355932202e-01,1.971720278733577913e+02
-3.561804455827841664e-01,3.728813559322033955e-01,1.999467664039329975e+02
2.791684573486686860e-01,6.508474576271185974e-01,1.483680439789690126e+02
-4.278015946405115399e-01,3.627118644067796605e-01,2.069639676827021333e+02
2.425877629374638411e-02,5.118644067796610519e-01,1.831407682013991973e+02
-2.422027029962932343e-01,4.610169491525423768e-01,2.217282386595637149e+02
-3.827495815235539833e-01,3.796610169491525522e-01,2.166800267769476420e+02
2.522142614667282623e-01,5.898305084745762983e-01,1.630313757560005001e+02
5.125147816980385462e-01,7.084745762711864847e-01,1.216062633032957763e+02
-6.276477041080412433e-02,4.576271186440677985e-01,1.898197992047431342e+02
6.892572946953337554e-02,5.186440677966102086e-01,1.829453989924806478e+02
5.968429088143950567e-02,5.186440677966102086e-01,1.839641152962225590e+02
-5.075090024628211571e-01,3.491525423728813471e-01,1.937525996021873311e+02
9.318450576327974577e-02,5.355932203389830448e-01,1.888242318828074815e+02
1.467078375859900419e-01,5.898305084745762983e-01,1.499151030634120048e+02
1.440124179977959606e-01,5.491525423728813582e-01,1.711503361833646295e+02
2.853294164073978956e-01,5.830508474576271416e-01,1.576420688817234748e+02
-8.124764758699185019e-02,4.847457627118644252e-01,1.759822360208510759e+02
2.345015041728817085e-01,5.661016949152541944e-01,1.498297535400640186e+02
-2.676166591135513140e-01,4.203389830508474367e-01,2.036730571819223314e+02
2.190991065260585735e-01,5.593220338983050377e-01,1.514886177847310194e+02
-1.440124179977959606e-01,4.677966101694915335e-01,1.927993313435737832e+02
1.124375028218086298e-01,5.932203389830508211e-01,1.528359810973630601e+02
-1.717367337620775425e-01,4.745762711864406902e-01,1.937506141118319647e+02
-1.332307396450198023e-01,4.745762711864406902e-01,1.940993852000278252e+02
2.764730377604746048e-01,5.966101694915254550e-01,1.410365273774216632e+02
-9.549486541030320630e-02,5.152542372881355748e-01,1.756790445212502050e+02
-2.075473082909412570e-01,4.237288135593220151e-01,1.943230909434469140e+02
-1.863690115265594915e-01,4.271186440677965934e-01,1.935079898195186558e+02
-4.043129382291064250e-02,5.084745762711864181e-01,1.783288519370364043e+02
4.551408504636226260e-01,7.389830508474576343e-01,1.595166471736355618e+02
1.998461094675297312e-01,5.559322033898305149e-01,1.739241745895388647e+02
-2.887949558779331211e-02,4.881355932203390036e-01,1.712688902788103462e+02
-6.931078941070395460e-03,5.423728813559322015e-01,1.506562660323653517e+02
-2.653062994665278951e-01,4.237288135593220151e-01,1.970038129299288698e+02
-5.698887129324546608e-02,4.779661016949152685e-01,1.916537554355855946e+02
3.581057452886370757e-02,5.152542372881355748e-01,1.709978081286162421e+02
-4.351177335227525145e-01,3.830508474576271305e-01,2.188009509140068758e+02
2.810937570545215744e-02,4.949152542372881602e-01,1.853696845946083442e+02
-6.237971046963355221e-02,5.254237288135593653e-01,1.513830648321584533e+02
1.247594209392671044e-01,5.728813559322033511e-01,1.750623601890602288e+02
-1.135926826453203531e-01,4.644067796610169552e-01,1.776485434049125729e+02
-1.517136168212075142e-01,4.711864406779661119e-01,2.138472807893460299e+02
-9.202932593976800857e-02,4.745762711864406902e-01,1.850615315706973263e+02
-6.815560958719221740e-02,5.118644067796610519e-01,1.933482229989062375e+02
1.262996607039494068e-01,5.491525423728813582e-01,1.714512984738869648e+02
-1.578745758799367585e-02,5.050847457627118953e-01,1.773905466499030013e+02
3.773587423471658903e-02,5.016949152542372614e-01,1.845847988794519097e+02
-1.732769735267598865e-02,4.983050847457627386e-01,1.879767730781588000e+02
-9.164426599859742950e-02,4.813559322033898469e-01,2.090373781593476394e+02
2.148634471731822593e-01,5.728813559322033511e-01,1.636916770334828186e+02
-3.889105405822831929e-01,3.661016949152542388e-01,2.188366086712880758e+02
2.179439267025468641e-01,5.796610169491525077e-01,1.666115984969072485e+02
-3.238354105244556358e-01,4.000000000000000222e-01,2.400867135983718299e+02
-1.798229925266596751e-01,4.169491525423728584e-01,2.049386294831262489e+02
-2.271853652906406784e-02,4.949152542372881602e-01,1.903783870609923952e+02
-1.147478624688320903e-01,4.542372881355932202e-01,1.909101899396008264e+02
-6.969584935187451979e-02,4.847457627118644252e-01,1.472304678783191605e+02
1.470928975271605932e-01,6.305084745762712384e-01,1.613748497515716451e+02
8.856378646923281084e-02,5.254237288135593653e-01,1.803425602741355078e+02
1.409319384684313559e-01,5.830508474576271416e-01,1.918102584430806985e+02
1.771275729384656425e-02,5.118644067796610519e-01,1.711335177597881625e+02
5.852911105792777541e-02,5.322033898305085220e-01,1.784193994117775901e+02
-9.395462564562090391e-02,4.474576271186440635e-01,1.964618539899855705e+02
2.522142614667282623e-01,6.677966101694915446e-01,1.519119594941671210e+02
-2.810937570545215744e-02,5.152542372881355748e-01,1.488052266474691123e+02
-7.970740782230954780e-02,5.355932203389830448e-01,1.661123449611453964e+02
-2.441280027021461296e-01,4.271186440677965934e-01,1.978989022663398032e+02
-3.273009499949908196e-01,3.864406779661017088e-01,2.202213843928598465e+02
-1.289950802921434603e-01,4.610169491525423768e-01,1.610129522390951422e+02
-2.310359647023464864e-03,4.949152542372881602e-01,1.716987323480227872e+02
2.260301854671289690e-01,5.932203389830508211e-01,1.566643723434124809e+02
-7.701198823411549259e-03,5.288135593220338881e-01,1.491816814890667331e+02
5.294574191095440252e-01,7.796610169491525744e-01,1.511805384730174353e+02
-2.533694412902399717e-01,4.372881355932203284e-01,1.511999826817192627e+02
-2.768580977016452116e-01,4.000000000000000222e-01,2.084683227064986966e+02
-7.701198823411549259e-03,4.983050847457627386e-01,1.679197909299904836e+02
-2.807086971133510023e-01,4.033898305084746005e-01,2.076080509570059007e+02
-2.117829676438176198e-02,4.915254237288135819e-01,1.809580178465446068e+02
-4.339625536992407495e-01,3.627118644067796605e-01,2.112025016422858243e+02
-2.491337819373636298e-01,4.271186440677965934e-01,1.500896856885343311e+02
-2.098576679379647314e-01,4.542372881355932202e-01,2.227536893577886872e+02
6.700042976368048020e-02,5.491525423728813582e-01,1.574680758691572464e+02
1.012707645278618646e-01,6.169491525423729250e-01,1.770371813163779393e+02
