size,frac,alpha,calib,n_feats,mae,rho_raw,rho_genre,rho_proph,pair,JE_source_pred,JE_source_lo,JE_source_hi,JE_source_ppost,D_source_pred,D_source_lo,D_source_hi,D_source_ppost,P_source_pred,P_source_lo,P_source_hi,P_source_ppost,Song_Sea_pred,Song_Sea_lo,Song_Sea_hi,Song_Sea_ppost,Song_Deborah_pred,Song_Deborah_lo,Song_Deborah_hi,Song_Deborah_ppost,D_Code_pred,D_Code_lo,D_Code_hi,D_Code_ppost,D_Frame_pred,D_Frame_lo,D_Frame_hi,D_Frame_ppost
500,0.5,0.0,var,289,100.1801772625743,0.7412403867533617,0.5747388332316433,0.6331293109485109,0.7762711864406779,598.5648746030182,396.361108649348,801.5192584295111,0.46,432.93152837030163,210.73066225942182,612.6796931788083,0.84,420.1192537993285,237.49362683537305,627.1100505315665,0.88,953.5078080282976,670.0803964313425,1241.0339276333682,0.04,931.7048023554055,731.825100305727,1200.1624860880888,0.02,334.8969207386474,136.97460307722417,527.9006130295957,0.98,469.2307933154455,268.60343301963525,684.5648735318614,0.7
500,0.5,0.0,none,289,95.76479321500052,0.7412403867533617,0.5747388332316433,0.6331293109485109,0.7762711864406779,559.9501840519013,352.8447670202727,740.8969525527114,0.56,476.74801009795254,291.81881718710304,668.4291158764718,0.84,475.3786289816487,294.9934094341579,683.0455949665966,0.78,739.650482005148,574.8663149066441,958.5832921318334,0.1,722.9295282615217,549.9588721694092,902.7563604946064,0.16,431.5052105458957,262.5206770779122,630.9083118322187,0.88,498.3694676190548,306.03533009668763,681.0915422485864,0.76
700,1.0,1.0,var,579,118.51106452337888,0.6261074643433591,0.33286251010170886,0.2539879212526003,0.7152542372881356,418.16918283603934,186.40902920837863,611.3926462795916,0.9,376.035779149549,135.96423572303377,580.4096753829748,0.94,335.0818674408302,91.19377365452897,544.5883150846641,0.96,650.17785093738,425.2508405820771,876.9126217218042,0.3,803.9668544424751,568.2173519429234,1031.6786205730516,0.08,416.1864288946409,171.85362051891633,613.75747987365,0.9,337.17713513029025,102.2096537604329,558.2942821650265,0.94
700,1.0,1.0,none,579,93.29562301925328,0.6261074643433591,0.33286251010170886,0.2539879212526003,0.7152542372881356,456.3275225787532,239.54092628722663,660.5071311286429,0.86,435.05768265045856,221.24701420881934,647.8175529858838,0.86,411.027348088799,200.0962724670776,614.6499779976788,0.88,592.2076408710918,378.9223714825596,800.2793297157598,0.42,677.8571549031241,473.18842440594324,884.1011152559015,0.18,456.74885386574374,242.8386698943583,658.0419193345082,0.86,414.4392109161502,208.18896821127663,634.7595069883412,0.88
700,1.0,0.0,var,579,120.0300770888053,0.5845209906969366,0.2198361908821133,0.1337424319639296,0.6983050847457627,396.6891895048227,165.53858783027584,603.0803769388638,0.86,345.3893735380057,117.66494968344102,565.6842603247339,0.94,329.1186608168583,89.72530061830145,538.4774763081647,0.98,649.9416114576575,399.52647059502533,908.2176348320397,0.3,790.8681500118892,588.6479331472553,1015.2151626892985,0.06,407.7319725893548,161.90211515273103,602.3582770410292,0.86,323.4193513958519,96.04858498739748,540.5353997309702,0.94
700,1.0,0.0,none,579,99.5868738509901,0.5845209906969366,0.2198361908821133,0.1337424319639296,0.6983050847457627,471.4046590251639,257.8350617469512,672.428076901532,0.8,446.7806251327941,238.39012835803908,661.4601480387821,0.82,438.46525235761624,228.63920622192188,643.2322213765027,0.82,593.8806570753005,376.314291798939,795.8092110812206,0.48,662.8081566565925,464.9820316157661,858.5870960948282,0.22,476.4792664441261,259.27795306944677,673.8709682240276,0.8,436.2131880492705,225.48485244490251,645.3692791580999,0.86
700,0.75,1.0,var,434,99.25916030874643,0.6603777991075404,0.3695960638480774,0.3496935147680728,0.7491525423728813,451.9604819419279,229.91506905957738,678.1904272697078,0.8,382.40746452327636,151.43093536379922,605.4947053571914,0.9,334.53073381190734,110.80058559667401,557.574360231371,0.96,685.809948374125,451.2046511099111,901.4352492321627,0.2,835.4917435881416,608.5114655750269,1080.8447995075412,0.06,369.94406760317054,126.06863214025697,602.3487909606827,0.9,391.12602884073215,160.5724768864286,620.148871631864,0.88
700,0.75,1.0,none,434,90.63768447754696,0.6603777991075404,0.3695960638480774,0.3496935147680728,0.7491525423728813,470.7563096780004,264.9671056176862,658.2666960717635,0.82,423.9369522721483,216.8426484501622,642.0533258321765,0.88,394.00942634444505,172.53884693814564,579.6290013873532,0.94,628.8655802514604,406.5387925472587,822.9295351533699,0.3,722.8924796140345,520.9729720171607,916.5546287383909,0.12,416.43066894799097,206.37100921359695,639.9118216756267,0.9,431.0843168913557,232.40728656358442,643.0536500336742,0.88
700,0.75,0.0,var,434,101.32788269093291,0.6557570798134934,0.35603290554172595,0.34355854082477333,0.7491525423728813,456.06911560707516,222.2801160373828,674.130218854327,0.8,373.6601386718993,132.95657953177738,597.0352901097006,0.9,324.26624552957264,89.30725039825364,543.2639480164695,0.96,673.7735645021864,428.61547265515605,904.437420101372,0.2,844.0406701070176,631.7085974728068,1111.7918834637471,0.06,361.56164707711866,130.31582320610403,594.3945337840272,0.92,392.64852843653375,146.8906313659313,604.153082055965,0.86
700,0.75,0.0,none,434,94.33529463698302,0.6557570798134934,0.35603290554172595,0.34355854082477333,0.7491525423728813,492.49276397163624,286.89171705791296,698.8464128149766,0.8,443.0619609791958,233.74174126837352,648.5170192616004,0.82,411.7209250246214,202.30175016275155,622.172028878376,0.92,630.1367089686596,421.4363003775644,821.1287299305322,0.28,731.796495559904,569.046225690138,919.989382916169,0.12,434.8582612226577,238.5738302498405,642.4544704547097,0.84,455.73678301017065,247.27667401143162,651.1573142163008,0.84
